Topic ID,Word,Probability
11,nefera,0.009084403
11,tertib,0.008510602
11,iktiza,0.008506315
11,ağa,0.008242395
11,orta,0.00772244
11,tayin,0.0073659453
11,zabitan,0.007279172
11,mahal,0.0071943477
11,sene,0.0071813003
11,topçu,0.0068585672
11,maaş,0.0064429697
11,nan,0.0056711514
11,talim,0.0055210087
12,devlet,0.03876911
12,aliyye,0.03283175
12,rusya,0.029672591
12,madde,0.025039366
12,reaya,0.015861385
12,sefine,0.015506816
12,tüccar,0.013883156
12,memalik,0.013038843
12,zikr,0.010118667
12,ticaret,0.008739314
12,mahal,0.007867092
12,olunma,0.0074963016
12,eşya,0.0071721384
12,dürl,0.007037544
12,gemi,0.0066517983
12,sefain,0.006245379
12,emtia,0.0061913524
12,ahidname,0.0061222455
12,cüml,0.0057454477
12,konsolos,0.005436531
13,guruş,0.057172593
13,sene,0.0438845
13,haremeyn,0.031085616
13,mal,0.021339966
13,miri,0.016759874
13,beher,0.014382198
13,masarif,0.013810612
13,mukataat,0.013110146
13,akç,0.0120624285
13,hisap,0.011535773
13,mukata,0.010816995
13,suret,0.010502945
13,humayu,0.009593404
13,nakl,0.009129616
13,akça,0.008878458
13,nizam,0.008160869
13,hazine,0.008124268
13,asl,0.00809655
13,şerifeyn,0.007997884
13,zabt,0.007468144
14,elçi,0.050220393
14,devlet,0.02200623
14,nemçe,0.021864299
14,aliyye,0.01972226
14,name,0.015677154
14,divan,0.014308971
14,rusya,0.0132787675
14,eflak,0.010578695
14,boğdan,0.01054267
14,takdim,0.0070614293
14,madde,0.006920135
14,devl,0.0067230943
14,voyvoda,0.006604344
14,voyvo,0.00652643
14,françe,0.006263949
14,ocak,0.0059252996
14,akd,0.0056805653
14,ali,0.0054255393
14,konsolos,0.0053069764
14,akdem,0.005306057
15,mısır,0.07679066
15,bey,0.04401179
15,ümera,0.024421562
15,kapu,0.01741654
15,mısriyye,0.014487155
15,ibrahim,0.013527957
15,murad,0.012534956
15,surre,0.011317682
15,sene,0.008648944
15,ahali,0.008559018
15,vali,0.008500478
15,hac,0.008236179
15,irsal,0.0072068265
15,haremeyn,0.006445576
15,asker,0.005855334
15,ismail,0.0056592342
15,mir,0.0055471836
15,azimet,0.0054377443
15,urban,0.0053828824
15,tüccar,0.0052078157
16,tevcih,0.05068985
16,sancak,0.043294653
16,eyale,0.040683985
16,vezir,0.038181823
16,vali,0.032948013
16,eyalet,0.02249621
16,mir,0.021077119
16,mehmed,0.020153785
16,mutasarrıf,0.017914679
16,vüzera,0.017215382
16,muhafız,0.017191729
16,miran,0.01691424
16,ibka,0.016581021
16,vezaret,0.015270795
16,vezare,0.014363087
16,ihsan,0.013446744
16,muhafaza,0.012986137
16,rumeli,0.012348853
16,zade,0.012015654
16,sabık,0.011333712
17,evkaf,0.023942113
17,mir,0.017245999
17,mum,0.012294628
17,ali,0.011465415
17,ferman,0.009988803
17,akla,0.00930709
17,mütevel,0.009263896
17,rütbe,0.009179111
17,vakf,0.009143174
17,kayd,0.008909
17,şerif,0.008523085
17,hüccet,0.007212913
17,arz,0.0068628406
17,mirani,0.0067669996
17,nizam,0.0067608547
17,husu,0.006496911
17,bey,0.0063424967
17,zahir,0.0062843473
17,sene,0.0060131843
17,şerife,0.0058621285
18,asker,0.024101831
18,ordu,0.013715307
18,düşmen,0.01076871
18,mahal,0.008583607
18,sayir,0.0068993713
18,kala,0.0066033727
18,serasker,0.005685715
18,adem,0.005182398
18,serdar,0.00513556
18,han,0.0048345397
18,islam,0.0045238035
18,tayin,0.0044957832
18,hal,0.0043301214
18,ceng,0.004272922
18,azimet,0.0040059546
18,ekre,0.0039833365
18,karş,0.0038490442
18,mikdar,0.0036928547
18,emr,0.0036706885
18,ağa,0.0035440796
19,şam,0.03452938
19,vali,0.018150637
19,şerif,0.014896167
19,mehmed,0.013528686
19,aded,0.01198516
19,mirül,0.011782047
19,hacc,0.011768106
19,eyale,0.008034047
19,haber,0.007875532
19,rakk,0.007518413
19,vezir,0.0068376535
19,mekke,0.006673917
19,met,0.006640452
19,tevcih,0.0064656013
19,ayt,0.006244916
19,canib,0.006199861
19,trablusşa,0.0061406787
19,diyarbekir,0.006095205
19,harem,0.006093002
19,elmas,0.0054912725
20,müşarü,0.009427858
20,sefine,0.0091704
20,derya,0.007882284
20,canip,0.007760852
20,sefayi,0.0074805943
20,havali,0.0072910776
20,din,0.0070474185
20,cezir,0.006828959
20,mezbure,0.005687786
20,ahali,0.005680953
20,mahal,0.0054322304
20,ali,0.0053907745
20,reaya,0.005322412
20,mor,0.0052248565
20,emr,0.005190241
20,sefayin,0.0049337884
20,islam,0.004885919
20,ahz,0.0046806857
20,maiyyet,0.004604035
20,ceng,0.0045763105
21,kral,0.06196094
21,imparator,0.04018882
21,prusya,0.026708229
21,fransa,0.021361927
21,avusturya,0.02095725
21,sefir,0.013866636
21,efkar,0.013589741
21,tercüme,0.012620539
21,devlet,0.012364144
21,yazılan,0.011713989
21,mumaileyh,0.011476178
21,halde,0.010847824
21,icra,0.010592889
21,talima,0.01020762
21,ızhar,0.0093351435
21,miyane,0.009258929
21,seniyye,0.008988018
21,ingilter,0.008906899
21,ittifak,0.008753561
21,tarih,0.00861064
22,devlet,0.029173242
22,murahhas,0.023091683
22,aliyye,0.021456966
22,rusya,0.020170068
22,leh,0.018115774
22,mum,0.011579619
22,mütarek,0.01154114
22,tarafeyn,0.011015614
22,moskov,0.009627985
22,mükaleme,0.009132737
22,mütareke,0.008596996
22,mükalem,0.0084166415
22,madde,0.0077832374
22,sulh,0.007687046
22,devleteyn,0.0072544864
22,mevadd,0.0063503976
22,tahrir,0.006284845
22,musalah,0.006087658
22,saltanat,0.0059847296
22,mahal,0.0059729395
23,devlet,0.024392437
23,umur,0.022843882
23,şahanem,0.016612625
23,din,0.015733743
23,hatt,0.015298609
23,aliyye,0.014590624
23,gayret,0.014458045
23,sadakat,0.013738961
23,kul,0.0121867815
23,malum,0.01016216
23,eyle,0.009842196
23,san,0.0098320395
23,kaffe,0.009446258
23,hayr,0.009148496
23,say,0.008115031
23,mülukanem,0.008092777
23,istiklal,0.007965499
23,mutlak,0.0076059434
23,cenab,0.0071847714
23,muvaffak,0.0069270246
24,ağa,0.027757365
